route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
16,4,4_10433688,"TARNOGAJ",1,821188,2,92,821188
16,4,4_10433692,"TARNOGAJ",1,821188,2,92,821188
16,4,4_10433694,"TARNOGAJ",1,821188,2,92,821188
16,4,4_10433696,"TARNOGAJ",1,821188,2,92,821188
16,4,4_10433710,"TARNOGAJ",1,821188,3,92,821188
16,4,4_10433714,"TARNOGAJ",1,821188,3,92,821188
16,4,4_10433718,"TARNOGAJ",1,821188,3,92,821188
16,4,4_10433720,"TARNOGAJ",1,821188,3,92,821188
16,4,4_10433735,"TARNOGAJ",1,821188,5,92,821188
16,4,4_10433739,"TARNOGAJ",1,821188,5,92,821188
16,4,4_10433743,"TARNOGAJ",1,821188,5,92,821188
16,4,4_10433749,"TARNOGAJ",1,821188,5,92,821188
16,4,4_10433754,"TARNOGAJ",1,821188,6,141,821188
16,4,4_10433756,"TARNOGAJ",1,821188,6,141,821188
16,4,4_10433760,"TARNOGAJ",1,821188,6,141,821188
16,4,4_10433764,"TARNOGAJ",1,821188,6,141,821188
16,4,4_10433770,"TARNOGAJ",1,821188,6,141,821188
16,4,4_10433777,"TARNOGAJ",1,821188,7,92,821188
16,4,4_10433779,"TARNOGAJ",1,821188,7,92,821188
16,4,4_10433783,"TARNOGAJ",1,821188,7,92,821188
16,4,4_10433787,"TARNOGAJ",1,821188,7,92,821188
16,4,4_10433793,"TARNOGAJ",1,821188,7,92,821188
16,4,4_10433799,"TARNOGAJ",1,821188,8,141,821188
16,4,4_10433801,"TARNOGAJ",1,821188,8,141,821188
16,4,4_10433805,"TARNOGAJ",1,821188,8,141,821188
16,4,4_10433809,"TARNOGAJ",1,821188,8,141,821188
16,4,4_10433815,"TARNOGAJ",1,821188,8,141,821188
16,4,4_10433825,"TARNOGAJ",1,821188,9,92,821188
16,4,4_10433829,"TARNOGAJ",1,821188,9,92,821188
16,4,4_10433833,"TARNOGAJ",1,821188,9,92,821188
16,4,4_10433839,"TARNOGAJ",1,821188,9,92,821188
16,4,4_10433848,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433852,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433856,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433860,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433862,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433866,"TARNOGAJ",1,821188,10,141,821188
16,4,4_10433875,"TARNOGAJ",1,821188,11,141,821188
16,4,4_10433752,"TARNOGAJ",1,821271,6,141,821271
16,4,4_10433797,"TARNOGAJ",1,821271,8,141,821271
16,4,4_10433751,"Zajezdnia GAJ",1,821742,5,92,821742
16,4,4_10433676,"Zajezdnia GAJ",0,821743,1,92,821743
16,4,4_10433721,"Zajezdnia GAJ",0,821743,3,92,821743
17,3,3_10433936,"Zajezdnia BOREK",0,805593,13,137,805593
17,3,3_10433956,"Zajezdnia BOREK",0,805593,14,137,805593
17,3,3_10433976,"Zajezdnia BOREK",0,805593,15,137,805593
17,3,3_10433996,"Zajezdnia BOREK",0,805593,16,137,805593
17,3,3_10434016,"Zajezdnia BOREK",0,805593,1,137,805593
17,3,3_10433878,"SĘPOLNO",0,816826,11,137,816826
17,3,3_10433898,"SĘPOLNO",0,816826,12,137,816826
17,3,3_10433918,"SĘPOLNO",0,816826,13,137,816826
17,3,3_10433937,"KLECINA",1,819332,14,137,819332
17,3,3_10433957,"KLECINA",1,819332,15,137,819332
17,3,3_10433977,"KLECINA",1,819332,16,137,819332
17,3,3_10433879,"KLECINA",1,819391,11,137,819391
17,3,3_10433881,"KLECINA",1,819391,11,137,819391
17,3,3_10433883,"KLECINA",1,819391,11,137,819391
17,3,3_10433885,"KLECINA",1,819391,11,137,819391
17,3,3_10433887,"KLECINA",1,819391,11,137,819391
17,3,3_10433889,"KLECINA",1,819391,11,137,819391
17,3,3_10433891,"KLECINA",1,819391,11,137,819391
17,3,3_10433893,"KLECINA",1,819391,11,137,819391
17,3,3_10433895,"KLECINA",1,819391,11,137,819391
17,3,3_10433899,"KLECINA",1,819391,12,137,819391
17,3,3_10433901,"KLECINA",1,819391,12,137,819391
17,3,3_10433903,"KLECINA",1,819391,12,137,819391
17,3,3_10433905,"KLECINA",1,819391,12,137,819391
17,3,3_10433907,"KLECINA",1,819391,12,137,819391
17,3,3_10433909,"KLECINA",1,819391,12,137,819391
17,3,3_10433911,"KLECINA",1,819391,12,137,819391
17,3,3_10433913,"KLECINA",1,819391,12,137,819391
17,3,3_10433915,"KLECINA",1,819391,12,137,819391
17,3,3_10433919,"KLECINA",1,819391,13,137,819391
17,3,3_10433921,"KLECINA",1,819391,13,137,819391
17,3,3_10433923,"KLECINA",1,819391,13,137,819391
17,3,3_10433925,"KLECINA",1,819391,13,137,819391
17,3,3_10433927,"KLECINA",1,819391,13,137,819391
17,3,3_10433929,"KLECINA",1,819391,13,137,819391
17,3,3_10433931,"KLECINA",1,819391,13,137,819391
17,3,3_10433933,"KLECINA",1,819391,13,137,819391
17,3,3_10433935,"KLECINA",1,819391,13,137,819391
17,3,3_10433939,"KLECINA",1,819391,14,137,819391
17,3,3_10433941,"KLECINA",1,819391,14,137,819391
17,3,3_10433943,"KLECINA",1,819391,14,137,819391
17,3,3_10433945,"KLECINA",1,819391,14,137,819391
17,3,3_10433947,"KLECINA",1,819391,14,137,819391
17,3,3_10433949,"KLECINA",1,819391,14,137,819391
17,3,3_10433951,"KLECINA",1,819391,14,137,819391
17,3,3_10433953,"KLECINA",1,819391,14,137,819391
17,3,3_10433955,"KLECINA",1,819391,14,137,819391
17,3,3_10433959,"KLECINA",1,819391,15,137,819391
17,3,3_10433961,"KLECINA",1,819391,15,137,819391
17,3,3_10433963,"KLECINA",1,819391,15,137,819391
17,3,3_10433965,"KLECINA",1,819391,15,137,819391
17,3,3_10433967,"KLECINA",1,819391,15,137,819391
17,3,3_10433969,"KLECINA",1,819391,15,137,819391
17,3,3_10433971,"KLECINA",1,819391,15,137,819391
17,3,3_10433973,"KLECINA",1,819391,15,137,819391
17,3,3_10433975,"KLECINA",1,819391,15,137,819391
17,3,3_10433979,"KLECINA",1,819391,16,137,819391
17,3,3_10433981,"KLECINA",1,819391,16,137,819391
17,3,3_10433983,"KLECINA",1,819391,16,137,819391
17,3,3_10433985,"KLECINA",1,819391,16,137,819391
17,3,3_10433987,"KLECINA",1,819391,16,137,819391
17,3,3_10433989,"KLECINA",1,819391,16,137,819391
17,3,3_10433991,"KLECINA",1,819391,16,137,819391
17,3,3_10433993,"KLECINA",1,819391,16,137,819391
17,3,3_10433995,"KLECINA",1,819391,16,137,819391
17,3,3_10434015,"KLECINA",1,819391,1,137,819391
17,3,3_10433880,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433882,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433884,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433886,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433888,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433890,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433892,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433894,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433896,"SĘPOLNO",0,819392,11,137,819392
17,3,3_10433900,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433902,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433904,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433906,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433908,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433910,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433912,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433914,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433916,"SĘPOLNO",0,819392,12,137,819392
17,3,3_10433920,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433922,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433924,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433926,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433928,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433930,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433932,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433934,"SĘPOLNO",0,819392,13,137,819392
17,3,3_10433938,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433940,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433942,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433944,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433946,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433948,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433950,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433952,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433954,"SĘPOLNO",0,819392,14,137,819392
17,3,3_10433958,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433960,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433962,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433964,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433966,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433968,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433970,"SĘPOLNO",0,819392,15,137,819392
